  0%|          | 0/1458 [00:00<?, ?it/s][transformers] Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                    
{'loss': '0.3279', 'grad_norm': '0.381', 'learning_rate': '8.332e-05', 'epoch': '0.9161'}
{'loss': '0.2964', 'grad_norm': '0.3926', 'learning_rate': '8.289e-05', 'epoch': '0.9264'}
{'loss': '0.347', 'grad_norm': '0.4275', 'learning_rate': '8.246e-05', 'epoch': '0.9367'}
{'loss': '0.3272', 'grad_norm': '0.3337', 'learning_rate': '8.203e-05', 'epoch': '0.947'}
{'loss': '0.3267', 'grad_norm': '0.3493', 'learning_rate': '8.159e-05', 'epoch': '0.9573'}
{'loss': '0.3075', 'grad_norm': '0.4108', 'learning_rate': '8.115e-05', 'epoch': '0.9676'}
{'loss': '0.3529', 'grad_norm': '0.4715', 'learning_rate': '8.07e-05', 'epoch': '0.9779'}
{'loss': '0.3177', 'grad_norm': '0.4986', 'learning_rate': '8.025e-05', 'epoch': '0.9882'}
{'loss': '0.3332', 'grad_norm': '0.4196', 'learning_rate': '7.98e-05', 'epoch': '0.9985'}
{'loss': '0.2768', 'grad_norm': '0.4273', 'learning_rate': '7.934e-05', 'epoch': '1.008'}
{'loss': '0.3007', 'grad_norm': '0.4055', 'learning_rate': '7.888e-05', 'epoch': '1.019'}
{'loss': '0.2736', 'grad_norm': '0.3542', 'learning_rate': '7.842e-05', 'epoch': '1.029'}
{'loss': '0.2795', 'grad_norm': '0.3697', 'learning_rate': '7.795e-05', 'epoch': '1.039'}
{'loss': '0.2582', 'grad_norm': '0.4532', 'learning_rate': '7.748e-05', 'epoch': '1.049'}
{'loss': '0.2821', 'grad_norm': '0.392', 'learning_rate': '7.7e-05', 'epoch': '1.06'}
{'loss': '0.2829', 'grad_norm': '0.3219', 'learning_rate': '7.652e-05', 'epoch': '1.07'}
{'loss': '0.3357', 'grad_norm': '0.3997', 'learning_rate': '7.604e-05', 'epoch': '1.08'}
{'loss': '0.2699', 'grad_norm': '0.308', 'learning_rate': '7.555e-05', 'epoch': '1.091'}
{'loss': '0.2701', 'grad_norm': '0.3305', 'learning_rate': '7.507e-05', 'epoch': '1.101'}
{'loss': '0.3043', 'grad_norm': '0.376', 'learning_rate': '7.457e-05', 'epoch': '1.111'}
{'loss': '0.3006', 'grad_norm': '0.3925', 'learning_rate': '7.408e-05', 'epoch': '1.121'}
{'loss': '0.2986', 'grad_norm': '0.4178', 'learning_rate': '7.358e-05', 'epoch': '1.132'}
{'loss': '0.2731', 'grad_norm': '0.3487', 'learning_rate': '7.308e-05', 'epoch': '1.142'}
{'loss': '0.2416', 'grad_norm': '0.4684', 'learning_rate': '7.257e-05', 'epoch': '1.152'}
{'loss': '0.3137', 'grad_norm': '0.4317', 'learning_rate': '7.207e-05', 'epoch': '1.163'}
{'loss': '0.266', 'grad_norm': '0.3447', 'learning_rate': '7.156e-05', 'epoch': '1.173'}
{'loss': '0.2433', 'grad_norm': '0.4594', 'learning_rate': '7.104e-05', 'epoch': '1.183'}
{'loss': '0.2916', 'grad_norm': '0.5495', 'learning_rate': '7.053e-05', 'epoch': '1.194'}
{'loss': '0.2533', 'grad_norm': '0.3542', 'learning_rate': '7.001e-05', 'epoch': '1.204'}
{'loss': '0.2702', 'grad_norm': '0.4225', 'learning_rate': '6.949e-05', 'epoch': '1.214'}
{'loss': '0.2479', 'grad_norm': '0.4363', 'learning_rate': '6.896e-05', 'epoch': '1.224'}
{'loss': '0.3182', 'grad_norm': '0.4236', 'learning_rate': '6.844e-05', 'epoch': '1.235'}
{'loss': '0.2944', 'grad_norm': '0.3586', 'learning_rate': '6.791e-05', 'epoch': '1.245'}
{'loss': '0.2557', 'grad_norm': '0.4178', 'learning_rate': '6.738e-05', 'epoch': '1.255'}
{'loss': '0.2808', 'grad_norm': '0.3307', 'learning_rate': '6.685e-05', 'epoch': '1.266'}
{'loss': '0.2661', 'grad_norm': '0.3884', 'learning_rate': '6.631e-05', 'epoch': '1.276'}
{'loss': '0.2396', 'grad_norm': '0.4267', 'learning_rate': '6.577e-05', 'epoch': '1.286'}
{'loss': '0.2816', 'grad_norm': '0.3477', 'learning_rate': '6.523e-05', 'epoch': '1.296'}
{'loss': '0.2985', 'grad_norm': '0.3729', 'learning_rate': '6.469e-05', 'epoch': '1.307'}
{'loss': '0.3015', 'grad_norm': '0.4273', 'learning_rate': '6.415e-05', 'epoch': '1.317'}
{'loss': '0.2887', 'grad_norm': '0.5176', 'learning_rate': '6.361e-05', 'epoch': '1.327'}
{'loss': '0.2858', 'grad_norm': '0.3263', 'learning_rate': '6.306e-05', 'epoch': '1.338'}
{'loss': '0.2388', 'grad_norm': '0.3979', 'learning_rate': '6.251e-05', 'epoch': '1.348'}
{'loss': '0.2496', 'grad_norm': '0.3612', 'learning_rate': '6.196e-05', 'epoch': '1.358'}
{'loss': '0.2748', 'grad_norm': '0.3639', 'learning_rate': '6.141e-05', 'epoch': '1.369'}
{'loss': '0.2539', 'grad_norm': '0.3331', 'learning_rate': '6.086e-05', 'epoch': '1.379'}
{'loss': '0.2425', 'grad_norm': '0.4159', 'learning_rate': '6.03e-05', 'epoch': '1.389'}
{'loss': '0.2776', 'grad_norm': '0.4856', 'learning_rate': '5.975e-05', 'epoch': '1.399'}
{'loss': '0.2172', 'grad_norm': '0.3436', 'learning_rate': '5.919e-05', 'epoch': '1.41'}
{'loss': '0.2861', 'grad_norm': '0.4475', 'learning_rate': '5.863e-05', 'epoch': '1.42'}
{'loss': '0.2171', 'grad_norm': '0.3912', 'learning_rate': '5.807e-05', 'epoch': '1.43'}
{'loss': '0.2533', 'grad_norm': '0.4111', 'learning_rate': '5.751e-05', 'epoch': '1.441'}
{'loss': '0.2457', 'grad_norm': '0.4148', 'learning_rate': '5.695e-05', 'epoch': '1.451'}
{'loss': '0.2488', 'grad_norm': '0.4347', 'learning_rate': '5.639e-05', 'epoch': '1.461'}
{'loss': '0.2163', 'grad_norm': '0.3389', 'learning_rate': '5.583e-05', 'epoch': '1.471'}
{'loss': '0.2126', 'grad_norm': '0.3883', 'learning_rate': '5.526e-05', 'epoch': '1.482'}
{'loss': '0.291', 'grad_norm': '0.4528', 'learning_rate': '5.47e-05', 'epoch': '1.492'}
{'loss': '0.2961', 'grad_norm': '0.4089', 'learning_rate': '5.413e-05', 'epoch': '1.502'}
{'loss': '0.2483', 'grad_norm': '0.3624', 'learning_rate': '5.357e-05', 'epoch': '1.513'}
